Real	User	CPU%	System	Exit
368.18	467.85	128%	4.41	0
737.57	986.18	134%	7.19	0
800.33	1076.31	135%	6.88	0
795.68	1036.13	131%	7.41	0
698.62	960.34	138%	7.19	0
554.99	708.41	128%	5.07	0
992.28	1493.16	151%	9.12	0
799.48	1070.02	134%	7.64	0
303.23	383.04	127%	4.29	0
6837.15	24179.2	353%	18.31	0
61.57	84.1	137%	0.76	0
612.55	818.72	134%	6	0
351.7	456.02	131%	4.74	0
233	296.67	128%	3.69	0
483.8	628.11	130%	5.29	0
752.21	1043.48	139%	5.89	0
413.87	512.81	125%	5.18	0
291.82	381.88	132%	5.1	0
61.93	81.7	133%	0.86	0
769.2	1017.69	133%	6.79	0
303.47	386.18	128%	4.14	0
537.98	716.08	134%	5.17	0
300.97	395.1	133%	5.42	0
237.65	295.57	125%	2.46	0
424.16	555.48	132%	5.47	0
967.28	1443.57	150%	8.15	0
487.36	640.34	132%	5.58	0
122.46	158.29	130%	1.52	0
440.13	583.09	133%	5.46	0
350.94	455.97	131%	5.21	0
680.84	930.84	137%	7.27	0
1272.25	2311.07	182%	9.02	0
868.98	1198.48	138%	8.19	0
658.85	872.12	133%	6.9	0
298.01	395.15	134%	4.28	0
489.09	633.7	130%	6.17	0
59.79	78.46	132%	0.82	0
120.53	158.32	132%	1.51	0
423.26	532.57	126%	4.97	0
614.77	812.55	133%	5.65	0
774.2	1039.85	135%	6.94	0
357.53	456.12	128%	4.88	0
176.07	227.53	130%	1.9	0
1252.9	2401.8	192%	8.97	0
57.58	77.76	136%	0.89	0
869.66	1181.76	136%	8.08	0
60.96	81.85	135%	0.82	0
225.44	279.77	125%	3.04	0
552.22	716.54	130%	6.7	0
234.57	292.96	126%	2.65	0
232.23	291.25	126%	2.92	0
240.07	294.07	123%	2.69	0
234.1	302.75	130%	3.61	0
299.55	383.35	129%	4.76	0
56.64	73.75	132%	1.03	0
363.18	444.93	123%	4.01	0
1213.58	2195.96	181%	8.25	0
