222.51;332.02;151%;4.39;42
245.64;360.13;147%;3.37;42
233.28;331.23;143%;4.09;42
238.64;345.50;146%;3.61;42
238.56;349.34;147%;3.57;42
229.10;326.43;144%;4.06;42
238.64;350.13;148%;3.47;42
229.75;336.76;148%;3.65;42
235.09;341.76;147%;4.36;42
235.83;347.25;148%;3.76;42
228.58;333.22;147%;4.55;42
241.86;356.62;148%;3.70;42
220.79;320.23;146%;3.09;42
226.78;336.74;150%;3.45;42
242.73;356.81;148%;3.80;42
27.13;39.61;149%;0.85;0
245.49;345.38;142%;4.38;42
233.58;347.32;150%;4.47;42
219.89;334.85;154%;4.20;42
240.35;354.26;149%;4.13;42
236.52;342.36;146%;4.19;42
229.36;344.64;151%;2.75;42
224.80;329.47;148%;3.23;42
238.49;348.91;147%;3.46;42
199.98;284.63;144%;3.65;0
236.21;360.63;154%;3.88;42
229.06;340.88;150%;4.19;42
238.66;359.86;152%;3.92;42
161.91;230.13;144%;3.69;0
138.92;205.52;150%;3.60;0
54.86;73.84;137%;1.56;0
237.87;347.55;147%;3.63;42
243.42;354.29;147%;4.06;42
241.13;354.16;148%;3.63;42
226.19;334.71;149%;4.11;42
226.91;331.22;147%;4.18;42
230.14;336.18;148%;4.65;42
225.04;334.92;150%;3.74;42
228.14;333.09;147%;3.75;42
241.71;351.28;146%;3.57;42
224.49;338.65;152%;3.18;42
235.44;343.78;147%;3.70;42
231.49;338.12;147%;3.74;42
232.98;343.41;148%;3.53;42
228.69;337.28;149%;3.96;42
225.17;335.69;150%;3.78;42
220.94;327.19;149%;4.16;42
219.70;330.30;152%;4.14;42
80.80;105.64;134%;2.97;0
227.41;342.56;152%;3.44;42
232.53;340.76;148%;4.24;42
239.64;351.00;147%;3.56;42
80.71;103.78;131%;2.46;0
226.86;327.77;146%;4.38;42
237.24;348.55;148%;3.62;42
224.67;332.69;149%;3.66;42
229.99;332.01;146%;4.02;42
235.39;346.62;149%;4.12;42
239.89;352.99;148%;3.82;42
233.48;345.99;149%;4.15;42
240.07;353.81;148%;3.51;42
235.69;345.67;148%;3.63;42
239.06;351.76;148%;3.72;42
36.20;49.63;140%;1.41;0
189.49;280.09;149%;3.69;0
234.18;340.27;147%;4.07;42
232.76;333.77;145%;3.95;42
233.59;340.53;147%;4.28;42
239.57;349.44;147%;3.58;42
236.83;343.60;146%;3.93;42
242.37;358.70;149%;3.83;42
234.57;343.00;147%;3.94;42
236.96;344.59;146%;3.21;42
221.24;333.38;152%;3.46;42
230.68;336.89;147%;4.12;42
220.30;327.65;150%;3.85;42
26.15;37.65;147%;0.84;0
160.29;225.20;142%;3.12;0
225.98;334.63;149%;3.79;42
241.03;348.78;146%;3.98;42
202.97;300.32;149%;3.78;0
218.00;317.53;147%;3.75;42
237.63;351.42;149%;3.88;42
235.47;340.03;146%;4.70;42
236.84;346.80;147%;3.42;42
53.20;71.85;138%;1.58;0
232.14;336.87;146%;3.68;42
222.01;330.54;150%;3.84;42
233.57;345.61;149%;3.79;42
221.47;328.36;150%;4.68;42
217.67;323.81;150%;3.98;42
216.82;322.58;150%;3.14;42
240.05;356.79;150%;3.67;42
231.57;339.84;148%;3.77;0
218.78;324.49;150%;4.32;42
234.75;342.95;147%;3.61;42
240.64;356.05;149%;4.02;42
239.92;357.28;150%;4.04;42
234.72;345.40;148%;3.94;42
229.99;338.65;148%;3.70;42
